EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,44,34,23,31,23,16,89,67,45,30.42,30.31,30.15,10,10,10,14,4,16,0.00,5,,152
2014-1-2,36,32,28,32,29,25,92,87,82,30.12,29.82,29.63,10,4,0,15,7,18,0.39,8,Fog-Snow,44
2014-1-3,27,18,9,23,9,-3,88,62,36,30.51,30.03,29.64,10,7,1,25,11,36,0.05,4,Snow,321
2014-1-4,32,19,6,13,8,2,88,64,39,30.54,30.42,30.27,10,10,7,14,3,20,0.00,1,,205
2014-1-5,37,27,17,35,27,14,100,87,74,30.28,30.13,29.70,10,5,0,9,3,13,0.11,8,Fog-Rain,65
2014-1-6,45,27,8,44,29,-14,100,69,38,30.08,29.66,29.49,10,6,0,35,15,47,0.15,6,Fog-Rain,268
2014-1-7,16,10,3,-4,-10,-14,57,44,30,30.47,30.32,30.08,10,10,10,29,13,39,0.00,1,,278
2014-1-8,29,18,6,14,1,-6,69,48,26,30.62,30.53,30.48,10,10,10,10,2,14,0.00,4,,239
2014-1-9,36,31,25,20,17,13,74,59,44,30.66,30.58,30.50,10,10,9,12,3,18,0.00,6,,75
2014-1-10,37,33,29,36,30,21,100,82,63,30.55,30.38,30.14,10,3,0,8,3,15,0.53,8,Fog-Rain,61
2014-1-11,57,46,35,56,43,34,100,89,77,30.13,29.74,29.39,10,3,0,22,5,28,0.75,8,Fog-Rain,242
2014-1-12,51,40,29,37,29,27,85,66,46,30.13,29.89,29.56,10,10,10,25,9,33,0.00,3,,286
2014-1-13,58,42,25,36,31,24,92,66,40,30.12,30.02,29.86,10,10,7,14,4,18,0.00,5,,174
2014-1-14,53,45,36,47,42,35,93,72,50,29.91,29.81,29.71,10,7,0,16,4,24,0.28,6,Fog-Rain,240
2014-1-15,45,39,32,40,36,27,100,80,59,29.99,29.93,29.88,10,4,0,14,3,20,0.00,7,Fog,316
2014-1-16,40,33,25,29,22,15,81,59,37,30.03,29.96,29.88,10,10,5,14,4,20,T,5,Rain-Snow,318
2014-1-17,44,34,25,29,26,22,88,69,49,29.97,29.92,29.81,10,10,9,13,3,17,0.00,5,,82
2014-1-18,35,28,20,28,15,6,82,61,39,29.99,29.89,29.78,10,10,8,25,12,32,T,3,Snow,289
2014-1-19,47,34,20,22,16,8,68,53,37,29.95,29.82,29.74,10,10,10,22,7,28,0.00,4,,226
2014-1-20,53,43,33,26,24,22,64,46,28,29.89,29.74,29.65,10,10,10,20,7,26,0.00,6,,266
2014-1-21,39,27,14,25,18,2,92,76,59,29.89,29.85,29.76,10,4,0,21,10,25,0.42,8,Fog-Snow,26
2014-1-22,15,10,4,-2,-6,-8,63,52,40,30.09,29.99,29.90,10,10,10,23,11,29,0.00,3,Snow,311
2014-1-23,24,14,3,9,3,-4,76,60,43,30.42,30.24,30.11,10,10,7,23,8,30,T,5,Snow,284
2014-1-24,20,13,6,-2,-5,-7,60,46,31,30.54,30.38,30.09,10,10,10,18,8,24,0.00,2,,249
2014-1-25,31,25,19,19,7,-3,63,49,35,30.05,29.67,29.48,10,9,1,25,10,32,T,7,Snow,218
2014-1-26,30,22,13,17,9,1,77,56,34,29.94,29.82,29.64,10,10,7,23,5,31,T,5,Snow,244
2014-1-27,47,33,19,28,14,-3,77,57,36,30.19,29.84,29.65,10,10,10,32,10,45,0.00,5,,292
2014-1-28,19,15,11,3,-5,-9,67,49,30,30.45,30.34,30.22,10,9,2,23,7,33,T,7,Snow,311
2014-1-29,22,16,9,7,1,-7,76,55,33,30.38,30.27,30.21,10,8,2,21,7,25,0.03,5,Snow,292
2014-1-30,29,17,5,10,2,-2,83,57,31,30.49,30.37,30.20,10,10,10,13,3,16,0.00,2,,125
2014-1-31,49,33,17,19,14,7,73,46,18,30.25,30.17,30.13,10,10,10,9,1,15,0.00,5,,50